---config@码表分类=主码-3
---config@码表别名=三级简码
桌	hjs#序55000
战	hka#序55000
虞	hkg#序55000
觇	hkm#序55000
乩	hkn#序55000
点	hko#序55000
卣	hln#序55000
鹾	hlr#序55000
眠	hna#序55000
瞰	hnb#序55000
鼎	hnd#序55000
凹	hnh#序55000
鸬	hnq#序55000
瞩	hnt#序55000
觑	hom#序55000
瞵	hoq#序55000
壑	hpg#序55000
瞑	hpj#序55000
眈	hpq#序55000
粲	hqc#序55000
瞻	hqd#序55000
眺	hqi#序55000
眵	hqq#序55000
睁	hqv#序55000
瞟	hsf#序55000
瞅	hto#序55000
眨	htp#序55000
睇	hux#序55000
齿	hwb#序55000
彪	hwe#序55000
瞪	hwg#序55000
瞧	hwy#序55000
砦	hxd#序55000
些	hxf#序55000
赀	hxm#序55000
觜	hxq#序55000
柴	hxs#序55000
雌	hxw#序55000
紫	hxx#序55000
訾	hxy#序55000
漭	iad#序55000
懑	iag#序55000
漠	iaj#序55000
灌	iak#序55000
潢	iam#序55000
涝	iap#序55000
鸿	iaq#序55000
沤	iar#序55000
柒	ias#序55000
浇	iat#序55000
沏	iav#序55000
洪	iaw#序55000
滠	ibc#序55000
泐	ibe#序55000
涵	ibi#序55000
婆	ibv#序55000
滁	ibw#序55000
汲	iby#序55000
泾	ica#序55000
渗	icd#序55000
涌	ice#序55000
泽	icg#序55000
治	ick#序55000
滩	icw#序55000
汊	icy#序55000
湖	ide#序55000
涯	idf#序55000
滟	idh#序55000
尜	idi#序55000
淹	idj#序55000
湎	idl#序55000
源	idr#序55000
涛	idt#序55000
潦	idu#序55000
湛	idw#序55000
泷	idx#序55000
汰	idy#序55000
浮	ieb#序55000
淝	iec#序55000
滔	iee#序55000
沮	ieg#序55000
溲	ieh#序55000
削	iej#序55000
逍	iep#序55000
淫	iet#序55000
溪	iex#序55000
灞	ifa#序55000
法	ifc#序55000
濡	ifd#序55000
潮	ifj#序55000
洁	ifk#序55000
污	ifn#序55000
渤	ifp#序55000
沅	ifq#序55000
渚	ift#序55000
浅	iga#序55000
沌	igb#序55000
添	igd#序55000
清	ige#序55000
沔	igh#序55000
洹	igj#序55000
滞	igk#序55000
渍	igm#序55000
洌	igq#序55000
沫	igs#序55000
浃	igu#序55000
兴	igw#序55000
涉	ihh#序55000
淑	ihi#序55000
淖	ihj#序55000
沾	ihk#序55000
浈	ihm#序55000
滤	ihn#序55000
瀣	ihq#序55000
滹	iht#序55000
濉	ihw#序55000
消	iie#序55000
淼	iii#序55000
淌	iim#序55000
沙	iit#序55000
瀑	ija#序55000
温	ijl#序55000
溻	ijn#序55000
湿	ijo#序55000
渴	ijq#序55000
滥	ijt#序55000
混	ijx#序55000
灏	ijy#序55000
涓	ike#序55000
潞	ikh#序55000
渑	ikj#序55000
澡	ikk#序55000
涡	ikm#序55000
涸	ild#序55000
渭	ile#序55000
涠	ilf#序55000
洄	ilk#序55000
涟	ilp#序55000
泅	ilw#序55000
漯	ilx#序55000
澧	ima#序55000
湍	imd#序55000
滑	ime#序55000
溅	img#序55000
测	imj#序55000
尚	imk#序55000
涔	imw#序55000
泯	ina#序55000
潺	inb#序55000
漏	inf#序55000
